Configuration	stm32LayOut
STM32CubeMX 	4.13.0
Date	04/28/2016
MCU	STM32F411VETx



PERIPHERALS	MODES	FUNCTIONS	PINS
I2C1	I2C	I2C1_SCL	PB6
I2C1	I2C	I2C1_SDA	PB7
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PH0 - OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PH1 - OSC_OUT
SDIO	SD 4 bits Wide bus	SDIO_CK	PB15
SDIO	SD 4 bits Wide bus	SDIO_CMD	PA6
SDIO	SD 4 bits Wide bus	SDIO_D0	PC8
SDIO	SD 4 bits Wide bus	SDIO_D1	PC9
SDIO	SD 4 bits Wide bus	SDIO_D2	PA9
SDIO	SD 4 bits Wide bus	SDIO_D3	PC11
SPI1	Full-Duplex Master	SPI1_MISO	PB4
SPI1	Full-Duplex Master	SPI1_MOSI	PA7
SPI1	Full-Duplex Master	SPI1_SCK	PA5
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
TIM4	Internal Clock	TIM4_VS_ClockSourceINT	VP_TIM4_VS_ClockSourceINT
TIM4	PWM Generation CH3	TIM4_CH3	PD14
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA15
USART2	Asynchronous	USART2_RX	PA3
USART2	Asynchronous	USART2_TX	PA2



Pin Nb	PINs	FUNCTIONs	LABELs
12	PH0 - OSC_IN	RCC_OSC_IN	
13	PH1 - OSC_OUT	RCC_OSC_OUT	
25	PA2	USART2_TX	PcTx
26	PA3	USART2_RX	PcRx
29	PA4	GPIO_Output	Dac_Ss
30	PA5	SPI1_SCK	Dac_Sck
31	PA6	SDIO_CMD	
32	PA7	SPI1_MOSI	Dac_Din
54	PB15	SDIO_CK	
61	PD14	TIM4_CH3	PWM(T4C3)
64	PC7	GPIO_Input	SD-CARD-det
65	PC8	SDIO_D0	
66	PC9	SDIO_D1	
68	PA9	SDIO_D2	
69	PA10	USART1_RX	Esp_Tx
72	PA13*	SYS_JTMS-SWDIO	
76	PA14*	SYS_JTCK-SWCLK	
77	PA15	USART1_TX	
79	PC11	SDIO_D3	
89	PB3*	SYS_JTDO-SWO	
90	PB4	SPI1_MISO	
92	PB6	I2C1_SCL	
93	PB7	I2C1_SDA	
